iter	Passed	Remaining
202	8495	117059
203	8539	117037
204	8580	116989
205	8622	116954
206	8669	116969
207	8714	116979
208	8759	116980
209	8799	116901
210	8840	116857
211	8886	116870
212	8932	116879
213	8981	116927
214	9021	116858
215	9065	116847
216	9103	116748
217	9150	116771
218	9195	116772
219	9240	116769
220	9284	116744
221	9332	116778
222	9372	116714
223	9416	116691
224	9456	116629
225	9501	116618
226	9544	116588
227	9587	116561
228	9627	116496
229	9671	116481
230	9711	116410
231	9749	116319
232	9791	116282
233	9835	116259
234	9875	116198
235	9920	116188
236	9966	116191
237	10007	116135
238	10050	116106
239	10097	116123
240	10139	116077
241	10182	116052
242	10228	116050
243	10270	116007
244	10310	115936
245	10355	115926
246	10396	115880
247	10436	115813
248	10481	115799
249	10521	115741
250	10561	115666
251	10601	115605
252	10646	115593
253	10689	115568
254	10732	115527
255	10776	115508
256	10821	115502
257	10859	115415
258	10904	115398
259	10950	115401
260	10989	115329
261	11036	115333
262	11082	115333
263	11128	115335
264	11173	115322
265	11216	115287
266	11257	115235
267	11305	115247
268	11350	115236
269	11397	115244
270	11439	115201
271	11487	115210
272	11535	115228
273	11578	115195
274	11624	115190
275	11669	115177
276	11716	115176
277	11764	115193
278	11809	115176
279	11856	115174
280	11904	115191
281	11946	115147
282	11997	115181
283	12041	115155
284	12081	115096
285	12128	115094
286	12168	115024
287	12212	115002
288	12253	114946
289	12297	114913
290	12337	114850
291	12379	114807
292	12422	114770
293	12466	114738
294	12507	114684
295	12551	114661
296	12596	114637
297	12641	114619
298	12685	114593
299	12726	114540
300	12768	114496
301	12816	114495
302	12859	114462
303	12903	114437
304	12941	114347
305	12985	114327
306	13055	114525
307	13101	114508
308	13147	114498
309	13195	114498
310	13237	114458
311	13280	114416
312	13319	114346
313	13366	114336
314	13410	114304
315	13454	114275
316	13497	114237
317	13541	114209
318	13588	114203
319	13630	114152
320	13695	114299
321	13746	114322
322	13787	114269
323	13835	114268
324	13879	114241
325	13922	114202
326	13965	114158
327	14007	114112
328	14048	114056
329	14091	114012
330	14135	113977
331	14178	113943
332	14222	113909
333	14267	113881
334	14313	113866
335	14355	113816
336	14400	113795
337	14439	113722
338	14486	113716
339	14532	113697
340	14578	113676
341	14623	113654
342	14668	113629
343	14710	113579
344	14759	113584
345	14805	113568
346	14855	113579
347	14902	113563
348	14945	113526
349	14992	113512
350	15046	113554
351	15095	113558
352	15140	113534
353	15191	113548
354	15237	113529
355	15281	113494
356	15354	113675
357	15407	113708
358	15451	113672
359	15493	113617
360	15538	113590
361	15584	113566
362	15631	113555
363	15677	113532
364	15724	113516
365	15770	113492
366	15815	113464
367	15859	113430
368	15901	113382
369	15945	113339
370	15984	113271
371	16024	113203
372	16069	113176
373	16113	113136
374	16158	113110
375	16204	113086
376	16247	113041
377	16293	113017
378	16339	112995
379	16383	112959
380	16423	112895
381	16466	112850
382	16511	112819
383	16558	112804
384	16604	112783
385	16651	112764
386	16693	112711
387	16740	112699
388	16791	112708
389	16837	112684
390	16880	112640
391	16928	112626
392	16972	112591
393	17021	112585
394	17067	112559
395	17113	112533
396	17157	112496
397	17201	112459
398	17251	112457
399	17298	112441
400	17345	112423
401	17387	112369
402	17434	112351
403	17476	112299
404	17525	112290
405	17570	112258
406	17615	112230
407	17657	112177
408	17700	112133
409	17746	112106
410	17785	112037
411	17832	112016
412	17878	111991
413	17922	111953
414	17968	111921
415	18015	111904
416	18061	111874
417	18110	111871
418	18147	111787
419	18194	111765
420	18238	111726
421	18280	111675
422	18326	111646
423	18367	111593
424	18411	111551
425	18454	111509
426	18500	111479
427	18543	111435
428	18589	111405
429	18636	111383
430	18681	111351
431	18729	111335
432	18774	111303
433	18819	111267
434	18867	111254
435	18912	111217
436	18958	111192
437	19004	111161
438	19044	111102
439	19090	111074
440	19137	111046
441	19185	111030
442	19237	111041
443	19287	111032
444	19334	111009
445	19378	110971
446	19424	110942
447	19467	110894
448	19511	110856
449	19558	110830
450	19601	110787
451	19650	110774
452	19696	110743
453	19745	110729
454	19787	110681
455	19834	110653
456	19879	110620
457	19922	110575
458	19968	110544
459	20016	110526
460	20064	110504
461	20118	110518
462	20168	110512
463	20212	110474
464	20259	110448
465	20311	110450
466	20358	110423
467	20404	110392
468	20451	110369
469	20500	110354
470	20546	110322
471	20593	110294
472	20640	110273
473	20685	110234
474	20729	110194
475	20776	110167
476	20827	110160
477	20879	110163
478	20924	110127
479	20970	110092
480	21019	110079
481	21064	110043
482	21105	109983
483	21150	109947
484	21198	109927
485	21249	109919
486	21299	109906
487	21348	109894
488	21395	109864
489	21440	109829
490	21491	109819
491	21535	109776
492	21578	109733
493	21626	109706
494	21673	109681
495	21718	109641
496	21763	109607
497	21814	109596
498	21863	109582
499	21913	109567
500	21961	109545
501	22008	109516
502	22052	109474
503	22096	109428
504	22148	109425
505	22196	109404
506	22244	109379
507	22290	109344
508	22337	109319
509	22386	109299
510	22434	109276
511	22482	109251
512	22527	109214
513	22574	109181
514	22619	109146
515	22664	109105
516	22702	109034
517	22750	109007
518	22790	108946
519	22836	108911
520	22878	108860
521	22924	108827
522	22964	108761
523	23009	108723
524	23054	108687
525	23100	108653
526	23144	108608
527	23189	108568
528	23232	108518
529	23283	108509
530	23329	108474
531	23375	108441
532	23423	108416
533	23480	108434
534	23546	108488
535	23596	108473
536	23635	108408
537	23686	108394
538	23727	108337
539	23777	108319
540	23820	108271
541	23862	108216
542	23910	108193
543	23952	108140
544	23997	108099
545	24043	108063
546	24085	108009
547	24134	107986
548	24178	107945
549	24223	107904
550	24272	107882
551	24324	107872
552	24373	107850
553	24417	107807
554	24464	107775
555	24514	107756
556	24560	107721
557	24608	107694
558	24654	107659
559	24698	107614
560	24745	107583
561	24797	107571
562	24844	107540
563	24887	107491
564	24934	107460
565	24980	107425
566	25027	107392
567	25074	107359
568	25121	107328
569	25167	107295
570	25213	107257
571	25260	107226
572	25310	107203
573	25354	107162
574	25396	107108
575	25445	107081
576	25493	107056
577	25539	107016
578	25586	106987
579	25644	106998
580	25692	106970
581	25757	107014
582	25824	107062
583	25876	107049
584	25921	107007
585	25969	106980
586	26010	106922
587	26049	106857
588	26098	106831
589	26141	106782
590	26189	106752
591	26235	106715
592	26286	106699
593	26335	106671
594	26380	106630
595	26429	106605
596	26475	106565
597	26523	106535
598	26571	106506
599	26614	106456
600	26662	106426
601	26711	106400
602	26752	106344
603	26799	106309
604	26839	106249
605	26884	106205
606	26929	106165
607	26972	106117
608	27018	106078
609	27057	106010
610	27105	105983
611	27151	105944
612	27198	105911
613	27248	105885
614	27294	105848
615	27343	105821
616	27389	105784
617	27431	105731
618	27471	105671
619	27516	105628
620	27567	105609
621	27612	105566
622	27657	105524
623	27704	105488
624	27751	105455
625	27795	105409
626	27832	105338
627	27876	105290
628	27922	105254
629	27968	105213
630	28009	105155
631	28054	105116
632	28101	105079
633	28144	105031
634	28187	104981
635	28232	104940
636	28276	104895
637	28317	104838
638	28365	104807
639	28412	104769
640	28454	104716
641	28497	104669
642	28543	104630
643	28588	104588
644	28633	104546
645	28676	104497
646	28721	104454
647	28766	104412
648	28814	104380
649	28860	104340
650	28907	104305
651	28954	104271
652	29000	104231
653	29045	104191
654	29090	104146
655	29135	104104
656	29174	104043
657	29218	103998
658	29265	103960
659	29310	103917
660	29354	103873
661	29399	103832
662	29442	103781
663	29486	103736
664	29533	103701
665	29588	103693
666	29636	103659
667	29680	103615
668	29729	103587
669	29775	103547
670	29824	103519
671	29874	103492
672	29920	103454
673	29968	103423
674	30013	103381
675	30059	103341
676	30101	103289
677	30146	103244
678	30186	103185
679	30233	103149
680	30276	103100
681	30321	103056
682	30367	103017
683	30408	102961
684	30448	102901
685	30495	102865
686	30538	102817
687	30581	102766
688	30628	102731
689	30673	102688
690	30713	102629
691	30754	102573
692	30797	102523
693	30836	102462
694	30881	102419
695	30921	102359
696	30965	102316
697	31012	102279
698	31057	102235
699	31097	102177
700	31144	102140
701	31183	102078
702	31231	102046
703	31275	102000
704	31318	101950
705	31360	101899
706	31406	101858
707	31447	101804
708	31494	101769
709	31544	101740
710	31587	101692
711	31630	101645
712	31666	101573
713	31713	101535
714	31755	101483
715	31800	101440
716	31843	101392
717	31884	101337
718	31927	101289
719	31969	101235
720	32013	101191
721	32058	101148
722	32104	101107
723	32141	101041
724	32183	100989
725	32227	100944
726	32275	100910
727	32319	100864
728	32361	100812
729	32405	100767
730	32444	100705
731	32490	100668
732	32536	100626
733	32573	100561
734	32619	100522
735	32661	100469
736	32709	100437
737	32752	100387
738	32799	100350
739	32846	100315
740	32889	100267
741	32933	100219
742	32976	100173
743	33017	100118
744	33065	100084
745	33106	100030
746	33151	99986
747	33191	99930
748	33231	99871
749	33279	99837
750	33326	99801
751	33372	99761
752	33417	99719
753	33461	99675
754	33507	99633
755	33553	99596
756	33598	99553
757	33638	99495
758	33685	99460
759	33734	99427
760	33778	99383
761	33819	99327
762	33871	99305
763	33937	99324
764	33982	99282
765	34025	99234
766	34071	99193
767	34110	99132
768	34156	99093
769	34204	99058
770	34248	99013
771	34287	98954
772	34327	98897
773	34374	98860
774	34419	98816
775	34463	98771
776	34508	98728
777	34555	98691
778	34598	98642
779	34643	98600
780	34688	98558
781	34732	98512
782	34782	98482
783	34828	98443
784	34873	98402
785	34918	98357
786	34961	98310
787	35007	98268
788	35052	98227
789	35096	98182
790	35141	98139
791	35187	98099
792	35232	98055
793	35273	98000
794	35317	97956
795	35359	97904
796	35404	97861
797	35447	97814
798	35487	97756
799	35535	97723
800	35577	97671
801	35622	97627
802	35667	97585
803	35710	97537
804	35757	97500
805	35800	97450
806	35843	97403
807	35890	97366
808	35938	97331
809	35980	97281
810	36032	97256
811	36078	97216
812	36125	97177
813	36198	97212
814	36252	97192
815	36303	97164
816	36346	97116
817	36392	97076
818	36440	97040
819	36484	96996
820	36534	96965
821	36578	96920
822	36615	96856
823	36658	96806
824	36703	96763
825	36748	96721
826	36795	96682
827	36841	96641
828	36887	96600
829	36932	96558
830	36976	96513
831	37022	96471
832	37064	96420
833	37106	96369
834	37152	96329
835	37193	96275
836	37237	96231
837	37275	96170
838	37322	96131
839	37367	96088
840	37406	96029
841	37455	95996
842	37498	95949
843	37538	95892
844	37578	95835
845	37624	95796
846	37667	95746
847	37713	95707
848	37759	95666
849	37803	95619
850	37842	95562
851	37885	95515
852	37929	95468
853	37975	95427
854	38019	95381
855	38062	95334
856	38109	95296
857	38153	95249
858	38199	95209
859	38247	95172
860	38292	95131
861	38336	95085
862	38383	95047
863	38427	95000
864	38471	94955
865	38513	94905
866	38555	94854
867	38601	94813
868	38647	94771
869	38688	94719
870	38735	94681
871	38783	94646
872	38833	94615
873	38880	94576
874	38930	94546
875	38975	94503
876	39021	94462
877	39066	94419
878	39111	94375
879	39158	94336
880	39198	94280
881	39243	94238
882	39287	94193
883	39332	94149
884	39377	94105
885	39423	94063
886	39467	94018
887	39512	93974
888	39557	93932
889	39602	93889
890	39645	93840
891	39689	93794
892	39736	93756
893	39777	93704
894	39822	93660
895	39861	93603
896	39910	93568
897	39955	93526
898	40000	93482
899	40043	93434
900	40088	93392
901	40137	93357
902	40180	93308
903	40222	93259
904	40267	93215
905	40312	93171
906	40358	93130
907	40400	93081
908	40446	93040
909	40485	92983
910	40527	92932
911	40574	92894
912	40620	92852
913	40659	92797
914	40703	92749
915	40745	92699
916	40792	92661
917	40836	92615
918	40878	92566
919	40922	92519
920	40966	92474
921	41010	92428
922	41055	92386
923	41097	92334
924	41136	92278
925	41176	92223
926	41221	92180
927	41268	92142
928	41307	92086
929	41353	92045
930	41398	92002
931	41442	91956
932	41486	91911
933	41529	91863
934	41575	91822
935	41619	91777
936	41664	91732
937	41710	91692
938	41751	91639
939	41794	91592
940	41838	91545
941	41880	91496
942	41925	91454
943	41965	91398
944	42008	91351
945	42046	91292
946	42089	91244
947	42135	91203
948	42174	91147
949	42217	91100
950	42262	91057
951	42307	91015
952	42350	90967
953	42396	90926
954	42437	90874
955	42478	90822
956	42521	90775
957	42567	90734
958	42613	90693
959	42660	90653
960	42706	90613
961	42744	90555
962	42793	90519
963	42832	90462
964	42875	90416
965	42918	90368
966	42964	90328
967	43007	90279
968	43050	90233
969	43094	90188
970	43137	90140
971	43183	90098
972	43229	90058
973	43276	90018
974	43318	89968
975	43362	89922
976	43406	89877
977	43451	89835
978	43495	89790
979	43537	89739
980	43583	89700
981	43628	89655
982	43673	89613
983	43717	89566
984	43762	89523
985	43806	89479
986	43853	89439
987	43899	89399
988	43940	89347
989	43980	89292
990	44027	89254
991	44072	89210
992	44115	89163
993	44162	89124
994	44204	89075
995	44249	89032
996	44288	88976
997	44354	88975
998	44404	88941
999	44447	88894
1000	44488	88844
1001	44534	88802
1002	44579	88759
1003	44622	88712
1004	44667	88668
1005	44709	88618
1006	44758	88583
1007	44799	88532
1008	44845	88491
1009	44888	88443
1010	44933	88400
1011	44980	88360
1012	45043	88352
1013	45086	88305
1014	45129	88258
1015	45170	88207
1016	45208	88148
1017	45250	88099
1018	45294	88054
1019	45336	88006
1020	45381	87962
1021	45423	87913
1022	45463	87860
1023	45508	87817
1024	45546	87759
1025	45583	87701
1026	45628	87657
1027	45669	87607
1028	45712	87559
1029	45751	87504
1030	45792	87454
1031	45832	87402
1032	45876	87356
1033	45918	87307
1034	45958	87253
1035	46003	87210
1036	46041	87155
1037	46082	87103
1038	46124	87054
1039	46168	87010
1040	46209	86959
1041	46252	86911
1042	46296	86867
1043	46345	86831
1044	46398	86802
1045	46457	86785
1046	46512	86761
1047	46563	86728
1048	46636	86737
1049	46693	86716
1050	46745	86685
1051	46789	86640
1052	46837	86602
1053	46880	86555
1054	46925	86511
1055	46965	86459
1056	47006	86408
1057	47049	86361
1058	47096	86321
1059	47143	86280
1060	47184	86230
1061	47231	86190
1062	47277	86149
1063	47321	86103
1064	47362	86053
1065	47406	86008
1066	47451	85964
1067	47491	85911
1068	47534	85863
1069	47577	85817
1070	47626	85781
1071	47676	85745
1072	47722	85705
1073	47761	85649
1074	47800	85596
1075	47841	85545
1076	47889	85507
1077	47935	85465
1078	47977	85416
1079	48020	85369
1080	48063	85322
1081	48100	85265
1082	48148	85226
1083	48192	85180
1084	48237	85137
1085	48281	85093
1086	48327	85051
1087	48366	84996
1088	48411	84953
1089	48456	84909
1090	48495	84856
1091	48538	84808
1092	48583	84765
1093	48624	84715
1094	48667	84667
1095	48712	84624
1096	48756	84579
1097	48799	84531
1098	48841	84484
1099	48883	84435
1100	48927	84390
1101	48973	84348
1102	49019	84306
1103	49063	84261
1104	49109	84219
1105	49153	84174
1106	49200	84135
1107	49244	84088
1108	49286	84040
1109	49324	83984
1110	49367	83938
1111	49411	83892
1112	49454	83846
1113	49500	83804
1114	49544	83758
1115	49592	83721
1116	49648	83696
1117	49694	83653
1118	49740	83611
1119	49788	83574
1120	49838	83538
1121	49882	83493
1122	49927	83450
1123	49969	83400
1124	50008	83347
1125	50054	83305
1126	50097	83258
1127	50139	83210
1128	50180	83159
1129	50225	83117
1130	50265	83065
1131	50309	83019
1132	50349	82967
1133	50392	82920
1134	50438	82878
1135	50479	82828
1136	50520	82779
1137	50562	82731
1138	50606	82684
1139	50644	82631
1140	50690	82588
1141	50737	82548
1142	50785	82509
1143	50825	82458
1144	50872	82418
1145	50915	82371
1146	50958	82325
1147	51003	82281
1148	51045	82232
1149	51090	82188
1150	51135	82144
1151	51180	82101
1152	51226	82060
1153	51267	82010
1154	51311	81965
1155	51358	81924
1156	51396	81870
1157	51442	81828
1158	51489	81787
1159	51526	81732
1160	51573	81691
1161	51625	81658
1162	51668	81612
1163	51718	81575
1164	51759	81527
1165	51800	81477
1166	51842	81428
1167	51883	81378
1168	51929	81337
1169	51974	81292
1170	52019	81250
1171	52060	81200
1172	52105	81156
1173	52148	81110
1174	52193	81067
1175	52238	81023
1176	52284	80980
1177	52332	80942
1178	52374	80893
1179	52416	80846
1180	52459	80798
1181	52503	80754
1182	52544	80704
1183	52589	80661
1184	52634	80616
1185	52675	80566
1186	52722	80527
1187	52760	80473
1188	52803	80426
1189	52846	80380
1190	52889	80333
1191	52932	80286
1192	52971	80233
1193	53016	80190
1194	53061	80147
1195	53103	80098
1196	53147	80053
1197	53192	80010
1198	53233	79960
1199	53279	79919
1200	53323	79874
1201	53368	79831
1202	53414	79788
1203	53459	79745
1204	53505	79703
1205	53549	79657
1206	53593	79613
1207	53635	79564
1208	53678	79519
1209	53716	79465
1210	53762	79423
1211	53808	79380
1212	53850	79333
1213	53895	79289
1214	53941	79247
1215	53984	79200
1216	54024	79149
1217	54070	79108
1218	54115	79065
1219	54163	79024
1220	54207	78980
1221	54250	78933
1222	54294	78888
1223	54340	78846
1224	54382	78799
1225	54429	78757
1226	54472	78712
1227	54511	78659
1228	54555	78614
1229	54599	78569
1230	54643	78524
1231	54684	78475
1232	54725	78426
1233	54793	78415
1234	54843	78380
1235	54883	78328
1236	54928	78285
1237	54973	78241
1238	55013	78190
1239	55057	78146
1240	55103	78103
1241	55149	78062
1242	55191	78013
1243	55232	77965
1244	55280	77924
1245	55325	77881
1246	55368	77835
1247	55417	77797
1248	55482	77781
1249	55528	77739
1250	55570	77691
1251	55617	77651
1252	55662	77608
1253	55706	77562
1254	55751	77519
1255	55796	77474
1256	55840	77430
1257	55884	77385
1258	55931	77343
1259	55972	77294
1260	56015	77249
1261	56060	77205
1262	56102	77157
1263	56147	77114
1264	56191	77068
1265	56234	77022
1266	56277	76976
1267	56319	76928
1268	56358	76877
1269	56404	76834
1270	56446	76786
1271	56486	76736
1272	56533	76695
1273	56572	76644
1274	56614	76595
1275	56656	76548
1276	56701	76505
1277	56750	76466
1278	56797	76426
1279	56851	76393
1280	56896	76350
1281	56944	76311
1282	56996	76276
1283	57075	76277
1284	57125	76241
1285	57174	76202
1286	57215	76153
1287	57257	76106
1288	57302	76062
1289	57345	76015
1290	57390	75972
1291	57434	75926
1292	57478	75882
1293	57523	75837
1294	57558	75782
1295	57602	75735
1296	57646	75691
1297	57692	75649
1298	57732	75598
1299	57774	75550
1300	57817	75505
1301	57854	75450
1302	57897	75404
1303	57941	75359
1304	57987	75317
1305	58028	75268
1306	58072	75223
1307	58115	75177
1308	58155	75126
1309	58202	75086
1310	58264	75064
1311	58310	75021
1312	58354	74976
1313	58396	74928
1314	58436	74878
1315	58475	74827
1316	58517	74779
1317	58555	74726
1318	58599	74681
1319	58643	74637
1320	58686	74590
1321	58724	74538
1322	58771	74497
1323	58821	74459
1324	58871	74422
1325	58918	74380
1326	58966	74340
1327	59009	74294
1328	59047	74242
1329	59088	74194
1330	59135	74152
1331	59178	74106
1332	59215	74052
1333	59259	74007
1334	59300	73958
1335	59344	73914
1336	59387	73867
1337	59429	73820
1338	59474	73776
1339	59515	73728
1340	59556	73679
1341	59598	73632
1342	59642	73586
1343	59688	73545
1344	59733	73501
1345	59776	73455
1346	59820	73409
1347	59862	73362
1348	59909	73321
1349	59952	73275
1350	59994	73227
1351	60032	73175
1352	60078	73133
1353	60122	73088
1354	60169	73047
1355	60210	72998
1356	60257	72957
1357	60299	72909
1358	60346	72868
1359	60388	72820
1360	60428	72772
1361	60472	72726
1362	60512	72677
1363	60550	72625
1364	60594	72580
1365	60637	72533
1366	60676	72482
1367	60721	72439
1368	60763	72392
1369	60810	72351
1370	60855	72307
1371	60897	72260
1372	60940	72214
1373	60978	72162
1374	61017	72112
1375	61061	72066
1376	61103	72019
1377	61148	71976
1378	61193	71931
1379	61238	71888
1380	61275	71835
1381	61318	71789
1382	61359	71741
1383	61402	71695
1384	61448	71652
1385	61489	71604
1386	61522	71547
1387	61570	71506
1388	61612	71459
1389	61658	71416
1390	61703	71373
1391	61747	71328
1392	61791	71283
1393	61840	71244
1394	61884	71200
1395	61931	71159
1396	61976	71115
1397	62018	71068
1398	62061	71022
1399	62100	70971
1400	62142	70925
1401	62185	70878
1402	62223	70827
1403	62265	70780
1404	62309	70735
1405	62350	70688
1406	62397	70646
1407	62436	70595
1408	62480	70550
1409	62524	70505
1410	62565	70458
1411	62606	70410
1412	62649	70364
1413	62688	70313
1414	62732	70268
1415	62772	70220
1416	62816	70174
1417	62858	70128
1418	62902	70083
1419	62940	70031
1420	62980	69983
1421	63017	69931
1422	63058	69883
1423	63096	69831
1424	63134	69780
1425	63179	69736
1426	63222	69691
1427	63264	69644
1428	63302	69592
1429	63343	69544
1430	63385	69498
1431	63429	69453
1432	63468	69403
1433	63512	69359
1434	63553	69310
1435	63597	69266
1436	63637	69217
1437	63676	69167
1438	63721	69124
1439	63766	69080
1440	63804	69029
1441	63843	68979
1442	63886	68933
1443	63930	68889
1444	63975	68845
1445	64018	68800
1446	64057	68749
1447	64100	68704
1448	64144	68659
1449	64187	68613
1450	64226	68564
1451	64270	68519
1452	64311	68472
1453	64359	68431
1454	64405	68389
1455	64450	68345
1456	64491	68298
1457	64529	68246
1458	64571	68200
1459	64614	68155
1460	64657	68109
1461	64700	68064
1462	64745	68020
1463	64786	67972
1464	64826	67923
1465	64868	67877
1466	64908	67828
1467	64950	67781
1468	64992	67735
1469	65036	67691
1470	65075	67641
1471	65117	67594
1472	65160	67548
1473	65232	67534
1474	65275	67488
1475	65317	67441
1476	65358	67393
1477	65402	67349
1478	65446	67305
1479	65489	67259
1480	65530	67212
1481	65574	67167
1482	65614	67119
1483	65654	67070
1484	65697	67025
1485	65742	66980
1486	65779	66929
1487	65822	66884
1488	65898	66872
1489	65941	66826
1490	65984	66780
1491	66028	66736
1492	66070	66689
1493	66109	66640
1494	66151	66593
1495	66192	66546
1496	66234	66500
1497	66280	66457
1498	66324	66412
1499	66371	66371
1500	66416	66327
1501	66458	66281
1502	66505	66239
1503	66549	66195
1504	66594	66152
1505	66633	66102
1506	66675	66056
1507	66718	66010
1508	66759	65963
1509	66803	65918
1510	66846	65872
1511	66889	65827
1512	66928	65778
1513	66967	65728
1514	67009	65682
1515	67054	65639
1516	67095	65591
1517	67135	65543
1518	67178	65497
1519	67225	65456
1520	67272	65414
1521	67317	65371
1522	67367	65332
1523	67417	65294
1524	67486	65273
1525	67542	65241
1526	67591	65201
1527	67632	65154
1528	67679	65112
1529	67722	65066
1530	67764	65019
1531	67806	64974
1532	67849	64928
1533	67890	64880
1534	67931	64833
1535	67972	64786
1536	68013	64738
1537	68051	64688
1538	68091	64640
1539	68135	64595
1540	68172	64544
1541	68210	64494
1542	68255	64450
1543	68293	64400
1544	68333	64352
1545	68376	64307
1546	68419	64262
1547	68463	64217
1548	68506	64172
1549	68545	64123
1550	68584	64074
1551	68631	64032
1552	68671	63984
1553	68713	63938
1554	68755	63891
1555	68798	63846
1556	68841	63800
1557	68883	63754
1558	68923	63706
1559	68964	63659
1560	69007	63614
1561	69063	63580
1562	69104	63533
1563	69150	63490
1564	69196	63448
1565	69241	63405
1566	69279	63355
1567	69322	63309
1568	69365	63264
1569	69406	63217
1570	69452	63174
1571	69494	63128
1572	69537	63082
1573	69577	63035
1574	69619	62989
1575	69664	62945
1576	69703	62896
1577	69747	62852
1578	69787	62804
1579	69827	62756
1580	69865	62706
1581	69908	62661
1582	69948	62613
1583	69995	62571
1584	70034	62523
1585	70076	62476
1586	70118	62430
1587	70161	62385
1588	70200	62336
1589	70241	62289
1590	70279	62239
1591	70319	62192
1592	70361	62146
1593	70405	62101
1594	70448	62056
1595	70492	62012
1596	70535	61967
1597	70580	61923
1598	70622	61877
1599	70664	61831
1600	70706	61785
1601	70749	61740
1602	70794	61696
1603	70836	61650
1604	70877	61603
1605	70918	61557
1606	70961	61511
1607	71003	61465
1608	71046	61420
1609	71089	61375
1610	71134	61331
1611	71177	61287
1612	71221	61242
1613	71267	61199
1614	71313	61156
1615	71358	61113
1616	71397	61065
1617	71440	61020
1618	71481	60973
1619	71526	60930
1620	71570	60886
1621	71613	60840
1622	71659	60798
1623	71704	60754
1624	71747	60709
1625	71789	60663
1626	71829	60615
1627	71872	60570
1628	71913	60523
1629	71954	60477
1630	71998	60433
1631	72041	60387
1632	72080	60338
1633	72121	60292
1634	72164	60247
1635	72209	60203
1636	72250	60157
1637	72293	60111
1638	72329	60061
1639	72371	60015
1640	72414	59970
1641	72451	59920
1642	72492	59873
1643	72529	59823
1644	72573	59779
1645	72611	59730
1646	72655	59685
1647	72695	59638
1648	72742	59597
1649	72788	59553
1650	72832	59510
1651	72875	59464
1652	72920	59421
1653	72961	59374
1654	73002	59328
1655	73041	59280
1656	73086	59236
1657	73130	59192
1658	73172	59146
1659	73217	59102
1660	73263	59060
1661	73307	59016
1662	73346	58968
1663	73389	58923
1664	73428	58874
1665	73471	58830
